1	212
1	212
1	214
1	211
1	208
2	178
2	160
2	181
2	167
2	180
2	164
3	150
3	162
3	164
3	155
3	153
3	174
4	147
4	135
4	160
4	164
4	155
4	150
5	132
5	150
5	145
5	165
5	140
5	154
6	137
6	137
6	136
6	138
6	138
6	136
7	140
7	137
7	132
7	132
7	133
7	127
8	157
8	136
8	136
8	142
8	133
8	136
9	132
9	132
9	134
9	138
9	131
9	136
10	131
10	132
10	131
10	132
10	131
10	131
11	132
11	142
11	131
11	140
11	133
11	133
12	133
12	132
12	130
12	132
12	138
12	134
13	134
13	142
13	138
13	162
13	102
13	136
14	147
14	103
14	152
14	131
14	134
14	125
15	142
15	131
15	129
15	127
15	127
15	129
16	135
16	166
16	131
16	130
16	138
16	140
17	146
17	102
17	153
17	130
17	127
17	124
18	153
18	131
18	128
18	127
18	125
18	142
19	131
19	130
19	141
19	138
19	139
19	140
20	138
20	139
20	137
20	138
20	136
20	131
21	125
21	135
21	151
21	130
21	130
21	131
22	135
22	141
22	101
22	155
22	130
22	132
23	123
23	144
23	129
23	127
23	123
23	141
24	130
24	127
24	138
24	126
24	127
24	133
25	148
25	147
25	136
25	126
25	135
25	139
26	141
26	138
26	101
26	130
26	132
26	133
27	126
27	125
27	127
27	122
27	139
27	127
28	127
28	136
28	124
28	130
28	126
28	136
29	151
29	135
29	135
29	132
29	133
29	127
30	128
30	129
30	129
30	142
30	108
30	149
31	137
31	162
31	132
31	136
31	131
31	128
32	128
32	128
32	138
32	133
32	140
32	135
33	131
33	129
33	132
33	141
33	151
33	102
34	139
34	136
34	141
34	126
34	126
34	125
35	127
35	129
35	138
35	130
35	128
35	130
36	137
36	102
36	151
36	129
36	132
36	123
37	127
37	122
37	124
37	124
37	146
37	130
38	130
38	140
38	166
38	144
38	101
38	156
39	130
39	137
39	128
39	138
39	136
39	134
40	136
40	130
40	133
40	140
40	106
40	144
41	146
41	141
41	134
41	136
41	134
41	132
42	129
42	132
42	132
42	135
42	147
42	163
43	139
43	144
43	100
43	138
43	139
43	125
44	126
44	138
44	135
44	129
44	128
44	128
45	128
45	134
45	141
45	135
45	131
45	128
46	128
46	139
46	139
46	149
46	98
46	137
47	140
47	136
47	99
47	129
47	136
47	142
48	138
48	101
48	152
48	128
48	130
48	133
49	137
49	131
49	132
49	103
49	140
49	145
50	136
50	149
50	129
50	136
50	152
50	98
51	138
51	136
51	147
51	166
51	106
51	137
52	136
52	139
52	144
52	99
52	134
52	123
53	124
53	146
53	129
53	138
53	141
53	140
54	135
54	129
54	128
54	127
54	129
54	127
55	136
55	132
55	131
55	121
55	129
55	159
56	139
56	145
56	127
56	130
56	142
56	150
57	100
57	140
57	136
57	139
57	127
57	132
58	133
58	140
58	137
58	136
58	136
58	130
59	104
59	141
59	140
59	139
59	145
59	156
60	136
60	135
60	130
60	101
60	154
60	127
61	126
61	138
61	147
61	129
61	135
61	134
62	133
62	129
62	143
62	100
62	134
62	138
63	135
63	133
63	138
63	158
63	137
63	141
64	103
64	135
64	159
64	130
64	136
64	142
65	152
65	100
65	141
65	151
65	155
65	100
66	143
66	139
66	143
66	148
66	148
66	102
67	143
67	135
67	137
67	143
67	151
67	101
68	138
68	149
68	129
68	129
68	140
68	148
69	101
69	140
69	132
69	133
69	134
69	134
70	128
70	135
70	141
70	136
70	98
70	130
71	138
71	160
71	99
71	133
71	138
71	143
72	138
72	100
72	135
72	137
72	124
72	126
73	132
73	142
73	138
73	135
73	129
73	129
74	138
74	99
74	160
74	130
74	140
74	148
75	102
75	158
75	171
75	145
75	100
75	142
76	141
76	140
76	127
76	130
76	137
76	134
77	134
77	134
77	104
77	146
77	141
77	136
78	137
78	142
78	98
78	134
78	131
78	152
79	130
79	138
79	138
79	140
79	103
79	162
80	131
80	141
80	149
80	102
80	156
80	162
81	117
81	156
81	136
81	142
81	144
81	99
82	138
82	130
82	143
82	133
82	133
82	138
83	136
83	130
83	102
83	134
83	153
83	125
84	125
84	138
84	142
84	147
84	131
84	131
85	130
85	127
85	128
85	134
85	137
85	134
86	139
86	158
86	102
86	145
86	142
86	141
87	140
87	122
87	143
87	132
87	138
87	131
88	101
88	154
88	132
88	141
88	161
88	144
89	104
89	162
89	141
89	127
89	133
89	136
90	134
90	136
90	131
90	129
90	132
90	139
